OBCINA_TIP;Leto;Stevilo.gradbenih.dovoljenj
Cerklje na Gorenjskem_Stanovanjske stavbe;2010;10
Cerklje na Gorenjskem_Stanovanjske stavbe;2011;12
Cerklje na Gorenjskem_Stanovanjske stavbe;2012;7
Cerklje na Gorenjskem_Stanovanjske stavbe;2013;13
Cerklje na Gorenjskem_Stanovanjske stavbe;2014;7
Cerklje na Gorenjskem_Stanovanjske stavbe;2015;18
Cerklje na Gorenjskem_Stanovanjske stavbe;2016;11
Cerklje na Gorenjskem_Stanovanjske stavbe;2017;20
Cerklje na Gorenjskem_Stanovanjske stavbe;2018;14
Cerklje na Gorenjskem_Stanovanjske stavbe;2019;16
Cerklje na Gorenjskem_Stanovanjske stavbe;2020;11
Cerklje na Gorenjskem_Nestanovanjske stavbe;2007;6
Cerklje na Gorenjskem_Nestanovanjske stavbe;2008;4
Cerklje na Gorenjskem_Nestanovanjske stavbe;2009;3
Cerklje na Gorenjskem_Nestanovanjske stavbe;2010;4
Cerklje na Gorenjskem_Nestanovanjske stavbe;2011;4
Cerklje na Gorenjskem_Nestanovanjske stavbe;2012;1
Cerklje na Gorenjskem_Nestanovanjske stavbe;2013;4
Cerklje na Gorenjskem_Nestanovanjske stavbe;2014;1
Cerklje na Gorenjskem_Nestanovanjske stavbe;2015;3
Cerklje na Gorenjskem_Nestanovanjske stavbe;2016;6
Cerklje na Gorenjskem_Nestanovanjske stavbe;2017;2
Cerklje na Gorenjskem_Nestanovanjske stavbe;2018;11
Cerklje na Gorenjskem_Nestanovanjske stavbe;2019;8
Cerklje na Gorenjskem_Nestanovanjske stavbe;2020;5
Cerknica_Stanovanjske stavbe;2007;30
Cerknica_Stanovanjske stavbe;2008;32
Cerknica_Stanovanjske stavbe;2009;27
Cerknica_Stanovanjske stavbe;2010;23
Cerknica_Stanovanjske stavbe;2011;25
Cerknica_Stanovanjske stavbe;2012;17
Cerknica_Stanovanjske stavbe;2013;11
Cerknica_Stanovanjske stavbe;2014;18
Cerknica_Stanovanjske stavbe;2015;21
Cerknica_Stanovanjske stavbe;2016;24
Cerknica_Stanovanjske stavbe;2017;14
Cerknica_Stanovanjske stavbe;2018;15
Cerknica_Stanovanjske stavbe;2019;7
Cerknica_Stanovanjske stavbe;2020;11
Cerknica_Nestanovanjske stavbe;2007;18
Cerknica_Nestanovanjske stavbe;2008;13
Cerknica_Nestanovanjske stavbe;2009;7
Cerknica_Nestanovanjske stavbe;2010;5
Cerknica_Nestanovanjske stavbe;2011;6
Cerknica_Nestanovanjske stavbe;2012;4
Cerknica_Nestanovanjske stavbe;2013;7
Cerknica_Nestanovanjske stavbe;2014;6
Cerknica_Nestanovanjske stavbe;2015;4
