OBCINE;TIP.STAVBE;Leto;Stevilo.gradbenih.dovoljenj
Cerklje na Gorenjskem;Stanovanjske stavbe;2019;16
Cerklje na Gorenjskem;Stanovanjske stavbe;2020;11
Cerklje na Gorenjskem;Nestanovanjske stavbe;2007;6
Cerklje na Gorenjskem;Nestanovanjske stavbe;2008;4
Cerklje na Gorenjskem;Nestanovanjske stavbe;2009;3
Cerklje na Gorenjskem;Nestanovanjske stavbe;2010;4
Cerklje na Gorenjskem;Nestanovanjske stavbe;2011;4
Cerklje na Gorenjskem;Nestanovanjske stavbe;2012;1
Cerklje na Gorenjskem;Nestanovanjske stavbe;2013;4
Cerklje na Gorenjskem;Nestanovanjske stavbe;2014;1
Cerklje na Gorenjskem;Nestanovanjske stavbe;2015;3
Cerklje na Gorenjskem;Nestanovanjske stavbe;2016;6
Cerklje na Gorenjskem;Nestanovanjske stavbe;2017;2
Cerklje na Gorenjskem;Nestanovanjske stavbe;2018;11
Cerklje na Gorenjskem;Nestanovanjske stavbe;2019;8
Cerklje na Gorenjskem;Nestanovanjske stavbe;2020;5
Cerknica;Stanovanjske stavbe;2007;30
Cerknica;Stanovanjske stavbe;2008;32
Cerknica;Stanovanjske stavbe;2009;27
Cerknica;Stanovanjske stavbe;2010;23
Cerknica;Stanovanjske stavbe;2011;25
Cerknica;Stanovanjske stavbe;2012;17
Cerknica;Stanovanjske stavbe;2013;11
Cerknica;Stanovanjske stavbe;2014;18
Cerknica;Stanovanjske stavbe;2015;21
Cerknica;Stanovanjske stavbe;2016;24
Cerknica;Stanovanjske stavbe;2017;14
Cerknica;Stanovanjske stavbe;2018;15
Cerknica;Stanovanjske stavbe;2019;7
Cerknica;Stanovanjske stavbe;2020;11
Cerknica;Nestanovanjske stavbe;2007;18
Cerknica;Nestanovanjske stavbe;2008;13
Cerknica;Nestanovanjske stavbe;2009;7
Cerknica;Nestanovanjske stavbe;2010;5
Cerknica;Nestanovanjske stavbe;2011;6
Cerknica;Nestanovanjske stavbe;2012;4
Cerknica;Nestanovanjske stavbe;2013;7
Cerknica;Nestanovanjske stavbe;2014;6
Cerknica;Nestanovanjske stavbe;2015;4
Cerknica;Nestanovanjske stavbe;2016;43
Cerknica;Nestanovanjske stavbe;2017;39
Cerknica;Nestanovanjske stavbe;2018;34
Cerknica;Nestanovanjske stavbe;2019;18
Cerknica;Nestanovanjske stavbe;2020;17
Cerkno;Stanovanjske stavbe;2007;5
Cerkno;Stanovanjske stavbe;2008;11
Cerkno;Stanovanjske stavbe;2009;6
Cerkno;Stanovanjske stavbe;2010;1
Cerkno;Stanovanjske stavbe;2011;3
Cerkno;Stanovanjske stavbe;2012;5
Cerkno;Stanovanjske stavbe;2013;13
Cerkno;Stanovanjske stavbe;2014;13
Cerkno;Stanovanjske stavbe;2015;10
Cerkno;Stanovanjske stavbe;2016;4
Cerkno;Stanovanjske stavbe;2017;5
Cerkno;Stanovanjske stavbe;2018;8
Cerkno;Stanovanjske stavbe;2019;5
Cerkno;Stanovanjske stavbe;2020;3
Cerkno;Nestanovanjske stavbe;2007;4
Cerkno;Nestanovanjske stavbe;2008;7
Cerkno;Nestanovanjske stavbe;2009;2
Cerkno;Nestanovanjske stavbe;2010;1
Cerkno;Nestanovanjske stavbe;2011;0
Cerkno;Nestanovanjske stavbe;2012;3
Cerkno;Nestanovanjske stavbe;2013;3
Cerkno;Nestanovanjske stavbe;2014;6
Cerkno;Nestanovanjske stavbe;2015;9
Cerkno;Nestanovanjske stavbe;2016;17
Cerkno;Nestanovanjske stavbe;2017;21
Cerkno;Nestanovanjske stavbe;2018;11
Cerkno;Nestanovanjske stavbe;2019;12
Cerkno;Nestanovanjske stavbe;2020;10
Cerkvenjak;Stanovanjske stavbe;2007;8
Cerkvenjak;Stanovanjske stavbe;2008;11
Cerkvenjak;Stanovanjske stavbe;2009;12
Cerkvenjak;Stanovanjske stavbe;2010;11
Cerkvenjak;Stanovanjske stavbe;2011;4
Cerkvenjak;Stanovanjske stavbe;2012;4
Cerkvenjak;Stanovanjske stavbe;2013;8
Cerkvenjak;Stanovanjske stavbe;2014;7
Cerkvenjak;Stanovanjske stavbe;2015;5
Cerkvenjak;Stanovanjske stavbe;2016;12
Cerkvenjak;Stanovanjske stavbe;2017;5
