"OBÈINE";"TIP.STAVBE";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020"
"Murska Sobota";"Nestanovanjske stavbe";11;12;7;10;5;3;9;8;24;36;35;33;48;41
"Muta";"Stanovanjske stavbe";7;9;1;3;6;4;5;10;3;5;5;4;8;3
"Muta";"Nestanovanjske stavbe";4;6;4;3;3;3;2;4;3;20;15;19;7;12
"Naklo";"Stanovanjske stavbe";12;11;7;2;5;8;12;6;7;7;9;14;7;8
"Naklo";"Nestanovanjske stavbe";4;1;7;2;1;2;2;2;1;6;5;2;5;5
"Nazarje";"Stanovanjske stavbe";3;1;2;4;4;2;2;1;3;6;3;4;2;8
"Nazarje";"Nestanovanjske stavbe";1;2;1;3;3;2;0;4;15;7;13;9;19;8
"Nova Gorica";"Stanovanjske stavbe";47;45;67;33;23;28;41;25;35;23;14;20;31;16
"Nova Gorica";"Nestanovanjske stavbe";18;14;15;10;10;5;3;2;46;37;37;13;32;16
"Novo mesto";"Stanovanjske stavbe";107;21;23;40;39;49;35;40;52;26;38;49;81;40
"Novo mesto";"Nestanovanjske stavbe";15;15;10;31;16;21;13;39;121;118;118;123;105;116
"Odranci";"Stanovanjske stavbe";3;2;4;2;4;1;6;5;4;4;4;4;2;6
"Odranci";"Nestanovanjske stavbe";2;0;0;4;0;3;2;6;8;10;6;8;12;9
"Oplotnica";"Stanovanjske stavbe";11;17;20;13;11;7;16;6;5;3;9;10;3;5
"Oplotnica";"Nestanovanjske stavbe";7;4;2;2;5;4;6;0;17;16;15;20;15;21
"Ormož";"Stanovanjske stavbe";28;18;33;29;23;21;35;33;19;17;19;17;17;12
"Ormož";"Nestanovanjske stavbe";10;9;5;12;14;14;14;17;60;59;70;71;42;27
"Osilnica";"Stanovanjske stavbe";1;1;2;2;0;0;0;1;0;1;0;0;0;0
"Osilnica";"Nestanovanjske stavbe";0;0;1;0;0;0;1;0;2;0;0;0;1;0
"Pesnica";"Stanovanjske stavbe";24;19;16;16;10;9;16;11;8;11;37;16;12;16
