"OBÈINA_TIP";"Leto";"Število.gradbenih.dovoljenj"
"Bovec_Stanovanjske stavbe";"2010";8
"Bovec_Stanovanjske stavbe";"2011";4
"Bovec_Stanovanjske stavbe";"2012";4
"Bovec_Stanovanjske stavbe";"2013";11
"Bovec_Stanovanjske stavbe";"2014";2
"Bovec_Stanovanjske stavbe";"2015";6
"Bovec_Stanovanjske stavbe";"2016";4
"Bovec_Stanovanjske stavbe";"2017";3
"Bovec_Stanovanjske stavbe";"2018";5
"Bovec_Stanovanjske stavbe";"2019";4
"Bovec_Stanovanjske stavbe";"2020";7
"Bovec_Nestanovanjske stavbe";"2007";9
"Bovec_Nestanovanjske stavbe";"2008";2
"Bovec_Nestanovanjske stavbe";"2009";8
"Bovec_Nestanovanjske stavbe";"2010";2
"Bovec_Nestanovanjske stavbe";"2011";7
"Bovec_Nestanovanjske stavbe";"2012";4
"Bovec_Nestanovanjske stavbe";"2013";1
"Bovec_Nestanovanjske stavbe";"2014";8
"Bovec_Nestanovanjske stavbe";"2015";14
"Bovec_Nestanovanjske stavbe";"2016";12
"Bovec_Nestanovanjske stavbe";"2017";6
"Bovec_Nestanovanjske stavbe";"2018";4
"Bovec_Nestanovanjske stavbe";"2019";7
"Bovec_Nestanovanjske stavbe";"2020";10
"Braslovèe_Stanovanjske stavbe";"2007";24
"Braslovèe_Stanovanjske stavbe";"2008";13
"Braslovèe_Stanovanjske stavbe";"2009";15
"Braslovèe_Stanovanjske stavbe";"2010";18
"Braslovèe_Stanovanjske stavbe";"2011";19
"Braslovèe_Stanovanjske stavbe";"2012";12
"Braslovèe_Stanovanjske stavbe";"2013";14
"Braslovèe_Stanovanjske stavbe";"2014";5
"Braslovèe_Stanovanjske stavbe";"2015";16
"Braslovèe_Stanovanjske stavbe";"2016";18
"Braslovèe_Stanovanjske stavbe";"2017";19
"Braslovèe_Stanovanjske stavbe";"2018";22
"Braslovèe_Stanovanjske stavbe";"2019";10
"Braslovèe_Stanovanjske stavbe";"2020";17
"Braslovèe_Nestanovanjske stavbe";"2007";2
"Braslovèe_Nestanovanjske stavbe";"2008";0
"Braslovèe_Nestanovanjske stavbe";"2009";2
"Braslovèe_Nestanovanjske stavbe";"2010";2
"Braslovèe_Nestanovanjske stavbe";"2011";4
"Braslovèe_Nestanovanjske stavbe";"2012";0
"Braslovèe_Nestanovanjske stavbe";"2013";8
"Braslovèe_Nestanovanjske stavbe";"2014";2
"Braslovèe_Nestanovanjske stavbe";"2015";4
"Braslovèe_Nestanovanjske stavbe";"2016";3
"Braslovèe_Nestanovanjske stavbe";"2017";5
"Braslovèe_Nestanovanjske stavbe";"2018";4
"Braslovèe_Nestanovanjske stavbe";"2019";20
"Braslovèe_Nestanovanjske stavbe";"2020";18
"Brda_Stanovanjske stavbe";"2007";23
"Brda_Stanovanjske stavbe";"2008";16
"Brda_Stanovanjske stavbe";"2009";12
"Brda_Stanovanjske stavbe";"2010";10
"Brda_Stanovanjske stavbe";"2011";7
"Brda_Stanovanjske stavbe";"2012";13
"Brda_Stanovanjske stavbe";"2013";10
"Brda_Stanovanjske stavbe";"2014";7
"Brda_Stanovanjske stavbe";"2015";10
"Brda_Stanovanjske stavbe";"2016";10
"Brda_Stanovanjske stavbe";"2017";11
"Brda_Stanovanjske stavbe";"2018";22
"Brda_Stanovanjske stavbe";"2019";8
"Brda_Stanovanjske stavbe";"2020";8
"Brda_Nestanovanjske stavbe";"2007";9
"Brda_Nestanovanjske stavbe";"2008";11
"Brda_Nestanovanjske stavbe";"2009";8
"Brda_Nestanovanjske stavbe";"2010";10
"Brda_Nestanovanjske stavbe";"2011";9
"Brda_Nestanovanjske stavbe";"2012";7
"Brda_Nestanovanjske stavbe";"2013";4
"Brda_Nestanovanjske stavbe";"2014";3
"Brda_Nestanovanjske stavbe";"2015";15
"Brda_Nestanovanjske stavbe";"2016";10
"Brda_Nestanovanjske stavbe";"2017";9
"Brda_Nestanovanjske stavbe";"2018";20
"Brda_Nestanovanjske stavbe";"2019";21
"Brda_Nestanovanjske stavbe";"2020";3
"Brezovica_Stanovanjske stavbe";"2007";36
"Brezovica_Stanovanjske stavbe";"2008";31
"Brezovica_Stanovanjske stavbe";"2009";31
"Brezovica_Stanovanjske stavbe";"2010";22
"Brezovica_Stanovanjske stavbe";"2011";8
"Brezovica_Stanovanjske stavbe";"2012";26
"Brezovica_Stanovanjske stavbe";"2013";20
"Brezovica_Stanovanjske stavbe";"2014";9
"Brezovica_Stanovanjske stavbe";"2015";10
"Brezovica_Stanovanjske stavbe";"2016";29
"Brezovica_Stanovanjske stavbe";"2017";29
"Brezovica_Stanovanjske stavbe";"2018";23
"Brezovica_Stanovanjske stavbe";"2019";12
"Brezovica_Stanovanjske stavbe";"2020";14
"Brezovica_Nestanovanjske stavbe";"2007";4
"Brezovica_Nestanovanjske stavbe";"2008";4
"Brezovica_Nestanovanjske stavbe";"2009";5
"Brezovica_Nestanovanjske stavbe";"2010";0
"Brezovica_Nestanovanjske stavbe";"2011";1
"Brezovica_Nestanovanjske stavbe";"2012";3
"Brezovica_Nestanovanjske stavbe";"2013";0
"Brezovica_Nestanovanjske stavbe";"2014";3
"Brezovica_Nestanovanjske stavbe";"2015";2
"Brezovica_Nestanovanjske stavbe";"2016";5
"Brezovica_Nestanovanjske stavbe";"2017";5
"Brezovica_Nestanovanjske stavbe";"2018";8
"Brezovica_Nestanovanjske stavbe";"2019";5
"Brezovica_Nestanovanjske stavbe";"2020";2
"Brežice_Stanovanjske stavbe";"2007";51
"Brežice_Stanovanjske stavbe";"2008";60
"Brežice_Stanovanjske stavbe";"2009";74
"Brežice_Stanovanjske stavbe";"2010";50
"Brežice_Stanovanjske stavbe";"2011";18
"Brežice_Stanovanjske stavbe";"2012";28
"Brežice_Stanovanjske stavbe";"2013";23
"Brežice_Stanovanjske stavbe";"2014";34
"Brežice_Stanovanjske stavbe";"2015";24
"Brežice_Stanovanjske stavbe";"2016";43
"Brežice_Stanovanjske stavbe";"2017";39
"Brežice_Stanovanjske stavbe";"2018";35
"Brežice_Stanovanjske stavbe";"2019";38
"Brežice_Stanovanjske stavbe";"2020";48
"Brežice_Nestanovanjske stavbe";"2007";33
"Brežice_Nestanovanjske stavbe";"2008";42
"Brežice_Nestanovanjske stavbe";"2009";35
"Brežice_Nestanovanjske stavbe";"2010";32
"Brežice_Nestanovanjske stavbe";"2011";26
"Brežice_Nestanovanjske stavbe";"2012";16
"Brežice_Nestanovanjske stavbe";"2013";16
"Brežice_Nestanovanjske stavbe";"2014";19
"Brežice_Nestanovanjske stavbe";"2015";77
"Brežice_Nestanovanjske stavbe";"2016";142
"Brežice_Nestanovanjske stavbe";"2017";102
"Brežice_Nestanovanjske stavbe";"2018";58
"Brežice_Nestanovanjske stavbe";"2019";109
"Brežice_Nestanovanjske stavbe";"2020";85
"Cankova_Stanovanjske stavbe";"2007";3
"Cankova_Stanovanjske stavbe";"2008";2
"Cankova_Stanovanjske stavbe";"2009";5
"Cankova_Stanovanjske stavbe";"2010";4
"Cankova_Stanovanjske stavbe";"2011";0
"Cankova_Stanovanjske stavbe";"2012";3
"Cankova_Stanovanjske stavbe";"2013";3
"Cankova_Stanovanjske stavbe";"2014";1
"Cankova_Stanovanjske stavbe";"2015";1
"Cankova_Stanovanjske stavbe";"2016";2
"Cankova_Stanovanjske stavbe";"2017";6
"Cankova_Stanovanjske stavbe";"2018";2
"Cankova_Stanovanjske stavbe";"2019";1
"Cankova_Stanovanjske stavbe";"2020";4
"Cankova_Nestanovanjske stavbe";"2007";3
"Cankova_Nestanovanjske stavbe";"2008";1
"Cankova_Nestanovanjske stavbe";"2009";4
"Cankova_Nestanovanjske stavbe";"2010";1
"Cankova_Nestanovanjske stavbe";"2011";2
"Cankova_Nestanovanjske stavbe";"2012";1
"Cankova_Nestanovanjske stavbe";"2013";3
"Cankova_Nestanovanjske stavbe";"2014";1
"Cankova_Nestanovanjske stavbe";"2015";3
"Cankova_Nestanovanjske stavbe";"2016";7
"Cankova_Nestanovanjske stavbe";"2017";8
"Cankova_Nestanovanjske stavbe";"2018";9
"Cankova_Nestanovanjske stavbe";"2019";9
"Cankova_Nestanovanjske stavbe";"2020";12
"Celje_Stanovanjske stavbe";"2007";59
"Celje_Stanovanjske stavbe";"2008";58
"Celje_Stanovanjske stavbe";"2009";27
"Celje_Stanovanjske stavbe";"2010";21
"Celje_Stanovanjske stavbe";"2011";18
"Celje_Stanovanjske stavbe";"2012";13
"Celje_Stanovanjske stavbe";"2013";22
"Celje_Stanovanjske stavbe";"2014";13
"Celje_Stanovanjske stavbe";"2015";17
"Celje_Stanovanjske stavbe";"2016";19
"Celje_Stanovanjske stavbe";"2017";18
"Celje_Stanovanjske stavbe";"2018";31
"Celje_Stanovanjske stavbe";"2019";24
"Celje_Stanovanjske stavbe";"2020";30
"Celje_Nestanovanjske stavbe";"2007";21
"Celje_Nestanovanjske stavbe";"2008";15
"Celje_Nestanovanjske stavbe";"2009";3
"Celje_Nestanovanjske stavbe";"2010";1
"Celje_Nestanovanjske stavbe";"2011";0
"Celje_Nestanovanjske stavbe";"2012";0
"Celje_Nestanovanjske stavbe";"2013";2
"Celje_Nestanovanjske stavbe";"2014";0
"Celje_Nestanovanjske stavbe";"2015";2
"Celje_Nestanovanjske stavbe";"2016";29
"Celje_Nestanovanjske stavbe";"2017";28
"Celje_Nestanovanjske stavbe";"2018";59
"Celje_Nestanovanjske stavbe";"2019";56
"Celje_Nestanovanjske stavbe";"2020";40
"Cerklje na Gorenjskem_Stanovanjske stavbe";"2007";25
"Cerklje na Gorenjskem_Stanovanjske stavbe";"2008";32
"Cerklje na Gorenjskem_Stanovanjske stavbe";"2009";25
"Cerklje na Gorenjskem_Stanovanjske stavbe";"2010";10
"Cerklje na Gorenjskem_Stanovanjske stavbe";"2011";12
"Cerklje na Gorenjskem_Stanovanjske stavbe";"2012";7
"Cerklje na Gorenjskem_Stanovanjske stavbe";"2013";13
"Cerklje na Gorenjskem_Stanovanjske stavbe";"2014";7
"Cerklje na Gorenjskem_Stanovanjske stavbe";"2015";18
"Cerklje na Gorenjskem_Stanovanjske stavbe";"2016";11
"Cerklje na Gorenjskem_Stanovanjske stavbe";"2017";20
"Cerklje na Gorenjskem_Stanovanjske stavbe";"2018";14
"Cerklje na Gorenjskem_Stanovanjske stavbe";"2019";16
"Cerklje na Gorenjskem_Stanovanjske stavbe";"2020";11
"Cerklje na Gorenjskem_Nestanovanjske stavbe";"2007";6
"Cerklje na Gorenjskem_Nestanovanjske stavbe";"2008";4
"Cerklje na Gorenjskem_Nestanovanjske stavbe";"2009";3
"Cerklje na Gorenjskem_Nestanovanjske stavbe";"2010";4
"Cerklje na Gorenjskem_Nestanovanjske stavbe";"2011";4
"Cerklje na Gorenjskem_Nestanovanjske stavbe";"2012";1
"Cerklje na Gorenjskem_Nestanovanjske stavbe";"2013";4
"Cerklje na Gorenjskem_Nestanovanjske stavbe";"2014";1
"Cerklje na Gorenjskem_Nestanovanjske stavbe";"2015";3
"Cerklje na Gorenjskem_Nestanovanjske stavbe";"2016";6
"Cerklje na Gorenjskem_Nestanovanjske stavbe";"2017";2
"Cerklje na Gorenjskem_Nestanovanjske stavbe";"2018";11
"Cerklje na Gorenjskem_Nestanovanjske stavbe";"2019";8
"Cerklje na Gorenjskem_Nestanovanjske stavbe";"2020";5
"Cerknica_Stanovanjske stavbe";"2007";30
"Cerknica_Stanovanjske stavbe";"2008";32
"Cerknica_Stanovanjske stavbe";"2009";27
"Cerknica_Stanovanjske stavbe";"2010";23
"Cerknica_Stanovanjske stavbe";"2011";25
"Cerknica_Stanovanjske stavbe";"2012";17
"Cerknica_Stanovanjske stavbe";"2013";11
"Cerknica_Stanovanjske stavbe";"2014";18
"Cerknica_Stanovanjske stavbe";"2015";21
"Cerknica_Stanovanjske stavbe";"2016";24
"Cerknica_Stanovanjske stavbe";"2017";14
"Cerknica_Stanovanjske stavbe";"2018";15
"Cerknica_Stanovanjske stavbe";"2019";7
"Cerknica_Stanovanjske stavbe";"2020";11
"Cerknica_Nestanovanjske stavbe";"2007";18
"Cerknica_Nestanovanjske stavbe";"2008";13
"Cerknica_Nestanovanjske stavbe";"2009";7
"Cerknica_Nestanovanjske stavbe";"2010";5
"Cerknica_Nestanovanjske stavbe";"2011";6
"Cerknica_Nestanovanjske stavbe";"2012";4
"Cerknica_Nestanovanjske stavbe";"2013";7
"Cerknica_Nestanovanjske stavbe";"2014";6
"Cerknica_Nestanovanjske stavbe";"2015";4
